Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-15,,18,Robbery,13D10,05B,4700-4799,TELEPHONE,-,-,1
2010-01-17,,20,Robbery,2A10,13R,2900-2999,FULTON,ST,-,1
2010-01-06,,16,Robbery,9C10,100,1600-1699,GELLHORN,-,-,1
2010-01-15,,07,Robbery,18F50,13R,6700-6799,HILLCROFT,-,-,1
2010-01-21,,02,Robbery,3B10,13R,4300-4399,SHERWOOD,LN,-,1
2010-01-08,,15,Robbery,19G40,13B,12500-12599,SHANNON HILLS,DR,-,1
2010-01-24,,14,Robbery,20G50,18U,300-399,MEMORIAL CITY,WAY,-,1
2010-01-06,,21,Robbery,19G50,18C,11200-11299,WILCREST,DR,-,1
2010-01-15,,20,Robbery,4F10,24P,1300-1399,GESSNER,DR,-,1
2010-01-21,,20,Robbery,9C40,080,500-599,UVALDE,RD,-,1
2010-01-21,,21,Robbery,18F20,140,2300-2399,WEST LP S,-,-,1
2010-01-24,,20,Robbery,2A10,210,2700-2799,FULTON,ST,-,1
2009-01-21,,15,Robbery,14D20,13R,3800-3899,MT PLEASANT,-,-,1
2010-01-04,,08,Robbery,14D10,13S,6800-6899,SOUTH,FWY SER,E,1
2010-01-10,,21,Robbery,19G10,210,9600-9699,BEECHNUT,ST,-,1
2010-01-10,,13,Robbery,2A30,18G,1400-1499,STUDEWOOD,-,-,1
2010-01-12,,22,Robbery,10H50,13R,2800-2899,MCGOWEN,ST,-,1
2010-01-15,,01,Robbery,1A20,18N,2400-2499,BRAZOS,ST,-,1
2010-01-15,,23,Robbery,6B50,18G,10400-10499,NORTH,FWY,-,1
2010-01-07,,13,Robbery,15E30,13R,7400-7499,BUFFALO SPEEDWAY,-,-,1
2010-01-18,,02,Robbery,17E20,18B,8300-8399,TYBOR,DR,-,1
2010-01-18,,01,Robbery,10H10,13R,4500-4599,CANAL,ST,-,1
2010-01-09,,11,Robbery,2A30,18G,2300-2399,SHEPHERD,DR,N,1
2010-01-06,,16,Robbery,12D70,18C,500-599,EL DORADO,BLVD,-,1
2010-01-19,,11,Robbery,11H20,18C,9200-9299,MANCHESTER,ST,-,1
2009-12-31,,20,Robbery,17E40,18C,6300-6399,AIRPORT,BLVD,W,1
2010-01-02,,10,Robbery,12D20,05B,11200-11299,FUQUA,ST,-,1
2010-01-20,,15,Robbery,16E10,18C,13300-13399,CHISWICK,RD,-,1
2010-01-20,,15,Robbery,3B50,080,4400-4499,NORTH,FWY SER,E,1
2010-01-01,,19,Robbery,12D10,18B,1100-1199,EDGEBROOK,DR,-,1
2010-01-22,,18,Robbery,6B60,24E,300-399,RANKIN,RD,W,1
2010-01-01,,19,Robbery,3B10,13R,11200-11299,NORTHWEST,FWY,-,1
2010-01-22,,13,Robbery,7C30,13R,9200-9299,JENSEN,DR,-,1
2010-01-01,,20,Robbery,3B40,18C,200-299,CROSSTIMBERS,-,-,1
2010-01-09,,19,Robbery,8C10,18T,6600-6699,TIDWELL,RD,-,1
2010-01-05,,21,Robbery,2A20,210,3700-3799,MAIN,-,N,1
2010-01-05,,21,Robbery,17E10,210,6500-6599,CHIMNEY ROCK,RD,-,1
2010-01-19,,11,Robbery,3B50,18T,0-99,BERRY,RD,-,1
2009-12-23,,21,Robbery,19G30,13R,2500-2599,SYNOTT,RD,-,1
2010-01-11,,20,Robbery,7C30,080,8800-8899,JENSEN,DR,-,1
2010-01-28,,22,Robbery,15E40,210,8200-8299,MAIN,ST,-,1
2010-01-08,,20,Robbery,15E40,080,9400-9499,MAIN,ST,-,1
2010-01-11,,19,Robbery,6B10,120,100-199,TIDWELL,RD,-,1
2010-01-11,,19,Robbery,3B50,24P,4700-4799,NORTH,FWY,-,1
2010-01-21,,16,Robbery,13D20,13R,7100-7199,MONROE,RD,-,1
2010-01-04,,13,Robbery,19G10,18G,9400-9499,WEST SAM HOUSTON,PKWY,S,1
2010-01-18,,14,Robbery,13D10,05B,5300-5399,TELEPHONE,RD,-,1
2010-01-10,,09,Robbery,17E30,080,10300-10399,BELLFORT,ST,W,1
2010-01-15,,19,Robbery,3B10,24C,5100-5199,ANTOINE,DR,-,1
2010-01-19,,16,Robbery,7C50,210,2700-2799,GREENS,RD,-,1
2010-01-04,,18,Robbery,2A20,080,600-699,CAVALCADE,-,W,1
2010-01-11,,01,Robbery,7C10,080,5400-5499,EAST,FWY,-,1
2010-01-30,,22,Robbery,10H30,13R,600-699,LIVE OAK,-,-,1
2010-01-30,,20,Robbery,6B10,13R,7400-7499,AIRLINE,DR,-,1
2010-01-13,,14,Robbery,19G40,13R,12600-12699,SHANNON HILLS,DR,-,1
2010-01-22,,08,Robbery,3B50,13R,7800-7899,HELMERS,ST,-,1
2010-01-24,,02,Robbery,12D20,03B,10700-10799,KINGSPOINT,-,-,1
2010-01-01,,10,Robbery,8C10,13R,7800-7899,GLASS,ST,-,1
2010-01-31,,01,Robbery,6B10,20A,9400-9499,BAUMAN,RD,-,1
2010-01-16,,04,Robbery,14D10,18N,3300-3399,OLD SPANISH,TRL,-,1
2010-01-07,,17,Robbery,10H10,13R,600-699,NAVIGATION,BLVD,-,1
2010-01-05,,22,Robbery,16E20,210,4500-4599,FUQUA,ST,W,1
2010-01-12,,20,Robbery,1A20,09D,1000-1099,WAUGH,-,-,1
2010-01-25,,14,Robbery,6B60,13R,500-599,GREENS,RD,-,1
2010-01-13,,19,Robbery,3B50,18C,1300-1399,CROSSTIMBERS,-,-,1
2010-01-16,,22,Robbery,1A20,13B,1400-1499,GRAY,-,W,1
2010-01-04,,18,Robbery,17E10,120,5900-5999,RENWICK,-,-,1
2010-01-04,,14,Robbery,18F60,13R,9000-9099,ROWAN,LN,-,1
2010-01-31,,15,Robbery,12D10,080,9500-9599,ROWLETT,-,-,1
2010-01-16,,00,Robbery,2A10,13R,2400-2499,SOUTH,ST,-,1
2010-01-25,,17,Robbery,3B10,13R,2700-2799,T C JESTER,BLVD,W,1
2010-01-02,,13,Robbery,7C50,13R,6800-6899,OAK VILLAGE,DR,-,1
2009-11-16,,15,Robbery,19G30,18O,12600-12699,HIGH STAR,DR,-,1
