Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-07-06,,22,Robbery,19G10,13R,10100-10199,REEDWOOD,LN,-,1
2013-07-06,,23,Robbery,1A10,11R,1000-1099,COMMERCE,ST,-,1
2013-07-06,,23,Robbery,3B40,18C,4400-4499,AIRLINE,DR,-,1
2013-07-07,,00,Robbery,3B40,13R,1300-1399,NEYLAND,-,-,1
2013-07-07,,01,Robbery,18F50,18N,6600-6699,SOUTHWEST,FWY,-,1
2013-07-07,,01,Robbery,19G10,18A,10200-10299,CLUB CREEK,DR,-,1
2013-07-07,,01,Robbery,10H30,13R,2200-2299,BELL,ST,-,1
2013-07-07,,02,Robbery,15E40,13R,2900-2999,WESTRIDGE,ST,-,1
2013-07-07,,01,Robbery,18F50,13S,7600-7699,CLAREWOOD,DR,-,1
2013-07-07,,01,Robbery,7C30,18O,6900-6999,JENSEN,DR,-,1
2013-07-07,,02,Robbery,13D20,13R,7700-7799,BELLFORT,ST,-,1
2013-07-07,,03,Robbery,18F50,18R,9400-9499,RICHMOND,AVE,-,1
2013-07-07,,02,Robbery,17E10,18A,6200-6299,GULFTON,-,-,1
2013-07-07,,03,Robbery,19G20,13R,4100-4199,BUGLE,-,-,1
2013-07-07,,03,Robbery,17E10,18T,5900-5999,GULFTON,-,-,1
2013-07-10,,23,Robbery,14D20,140,3400-3499,AIRPORT,BLVD,-,1
2013-07-11,,00,Robbery,14D20,13R,8300-8399,CULLEN,BLVD,-,1
2013-07-11,,00,Robbery,12D60,13R,900-999,RAMADA,DR,-,1
2013-07-11,,00,Robbery,14D40,20R,4000-4099,MARCHANT,RD,-,1
2013-07-11,,00,Robbery,16E30,13S,15200-15299,MAIN,ST,-,1
2013-07-07,,04,Robbery,18F40,13R,2700-2799,CROSSVIEW,DR,-,1
2013-07-07,,08,Robbery,18F40,18G,8600-8699,WESTHEIMER,RD,-,1
2013-07-07,,11,Robbery,19G10,20A,10000-10099,SPICE,LN,-,1
2013-07-07,,11,Robbery,6B10,250,9700-9799,CLARK,RD,-,1
2013-07-07,,12,Robbery,11H20,18C,8000-8099,LAWNDALE,-,-,1
2013-07-07,,13,Robbery,17E10,18R,6100-6199,CLAREWOOD,DR,-,1
2013-07-07,,15,Robbery,5F40,24C,7900-7999,FM 1960,-,W,1
2013-07-07,,16,Robbery,10H50,11R,2400-2499,ELGIN,ST,-,1
2013-07-07,,16,Robbery,2A60,250,1500-1599,NORTH LP W,-,-,1
2013-07-07,,17,Robbery,5F40,120,7000-7099,FM 1960,-,W,1
2013-07-07,,18,Robbery,10H60,20D,2600-2699,CALUMET,-,-,1
2013-07-07,,19,Robbery,6B60,18A,12600-12699,NORTHBOROUGH,DR,-,1
2013-07-11,,11,Robbery,12D60,02C,16400-16499,EL CAMINO REAL,-,-,1
2013-07-07,,20,Robbery,18F40,120,9500-9599,WESTHEIMER,RD,-,1
2013-07-07,,21,Robbery,12D20,18O,11800-11899,SOUTH SAM HOUSTON,PKWY,E,1
2013-07-07,,17,Robbery,6B30,11R,2600-2699,LITTLE YORK,RD,W,1
2013-07-07,,22,Robbery,12D20,120,11000-11099,FUQUA,ST,-,1
2013-07-07,,22,Robbery,17E40,070,6500-6599,WILLOWBEND,BLVD,-,1
2013-07-11,,15,Robbery,19G20,02B,10800-10899,BELLAIRE,BLVD,-,1
2013-07-11,,16,Robbery,19G20,13R,4300-4399,BOONE,RD,-,1
2013-07-07,,22,Robbery,3B50,18C,300-399,CROSSTIMBERS,-,E,1
2013-07-07,,22,Robbery,20G10,18A,10200-10299,HARWIN,DR,-,1
2013-07-08,,00,Robbery,6B60,13R,13700-13799,ELLA,BLVD,-,1
2013-07-08,,00,Robbery,10H60,20P,2500-2599,BINZ,ST,-,1
2013-07-08,,01,Robbery,19G10,13R,8700-8799,BOONE,RD,-,1
2013-07-08,,02,Robbery,17E10,13R,5700-5799,RENWICK,-,-,1
2013-07-08,,04,Robbery,12D60,20A,1200-1299,BAY AREA,BLVD,-,1
2013-07-08,,04,Robbery,6B20,13R,7600-7699,MOUNT,-,-,1
2013-07-08,,05,Robbery,18F60,13R,8700-8799,BEECHNUT,ST,-,1
2013-07-08,,05,Robbery,18F50,18N,9900-9999,WESTPARK,-,-,1
2013-07-08,,08,Robbery,18F60,13R,7200-7299,AUGUSTINE,DR,-,1
2013-07-08,,09,Robbery,15E30,210,8600-8699,STELLA LINK,-,-,1
2013-07-08,,14,Robbery,20G30,13R,2900-2999,HAYES,RD,-,1
2013-07-08,,10,Robbery,6B10,13R,9400-9499,IRVINGTON,BLVD,-,1
2013-07-08,,21,Robbery,14D20,05X,9000-9099,CULLEN,BLVD,-,1
2013-07-08,,22,Robbery,13D20,18T,8300-8399,BROADWAY,ST,-,1
2013-07-08,,23,Robbery,5F30,13R,5400-5499,GUHN,-,-,1
2013-07-08,,13,Robbery,15E30,13R,10000-10099,MAIN,ST,-,1
2013-07-11,,23,Robbery,17E10,18A,5900-5999,BISSONNET,ST,-,1
2013-07-12,,03,Robbery,15E40,13R,200-299,HOLMES,RD,-,1
2013-07-08,,18,Robbery,17E40,250,8100-8199,CREEKBEND,DR,-,1
2013-07-08,,20,Robbery,6B60,11R,500-599,GREENS,RD,-,1
2013-07-08,,20,Robbery,14D10,13R,4300-4399,OLD SPANISH,TRL,-,1
2013-07-08,,20,Robbery,12D70,18G,1800-1899,BAY AREA,BLVD,W,1
2013-07-08,,20,Robbery,7C30,250,2600-2699,TIDWELL,RD,-,1
2013-07-08,,21,Robbery,17E30,13R,8900-8999,REAMER,-,-,1
2013-07-08,,21,Robbery,6B20,20A,5600-5699,YALE,-,-,1
2013-07-08,,21,Robbery,17E40,210,12600-12699,GESSNER,DR,S,1
2013-07-12,,00,Robbery,1A10,13R,1400-1499,STERRETT,-,-,1
2013-07-12,,00,Robbery,19G20,250,12100-12199,BELLAIRE,BLVD,-,1
2013-07-12,,02,Robbery,12D10,18A,10100-10199,WINDMILL LAKES,BLVD,-,1
2013-07-09,,00,Robbery,17E30,18A,8900-8999,BISSONNET,ST,-,1
2013-07-09,,02,Robbery,15E40,18A,2600-2699,WESTRIDGE,ST,-,1
2013-07-09,,02,Robbery,17E10,18M,6600-6699,SOUTHWEST,FWY,-,1
