WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-07,20,Robbery,19G20,05M,11200-11299,BELLAIRE,BLVD,-,1,
2010-09-07,18,Robbery,14D20,13R,8800-8899,SCOTT,-,-,1,
2010-09-07,17,Robbery,18F30,18N,5700-5799,RICHMOND,AVE,-,1,
2010-09-07,20,Robbery,5F10,18C,7200-7299,WESTVIEW,-,-,1,
2010-09-12,21,Robbery,9C40,18A,600-699,MAXEY,RD,-,1,
2010-09-12,21,Robbery,3B10,20A,5300-5399,DEEP FOREST,DR,-,1,
2010-09-07,20,Robbery,4F10,210,1200-1299,GESSNER,DR,-,1,
2010-09-07,21,Robbery,18F40,18A,7900-7999,WESTHEIMER,RD,-,1,
2010-09-07,21,Robbery,20G30,18A,2700-2799,WALLINGFORD,DR,-,1,
2010-09-07,22,Robbery,4F10,18A,9500-9599,WESTVIEW,-,-,1,
2010-09-07,22,Robbery,1A20,13R,3300-3399,MONTROSE,BLVD,-,1,
2010-09-07,23,Robbery,10H50,20R,2900-2999,ANITA,ST,-,1,
2010-09-07,16,Robbery,19G50,18C,9800-9899,BISSONNET,ST,-,1,
2010-09-13,03,Robbery,3B50,13R,500-599,WESTFORD,-,-,1,
2010-09-13,03,Robbery,18F30,18A,2700-2799,BRIARGROVE,DR,-,1,
2010-09-13,03,Robbery,18F50,13R,5800-5899,FONDREN,RD,-,1,
2010-09-13,03,Robbery,1A10,13R,400-499,SAN JACINTO,-,-,1,
2010-09-13,02,Robbery,8C60,250,10500-10599,HOMESTEAD,RD,-,1,
2010-09-13,04,Robbery,19G10,20A,9900-9999,CLUB CREEK,DR,-,1,
2010-09-13,05,Robbery,18F10,20D,7400-7499,KATY,FWY,-,1,
2010-09-08,01,Robbery,18F50,18C,6500-6599,SOUTHWEST,FWY SER,N,1,
2010-09-08,11,Robbery,17E30,02B,11200-11299,GESSNER,DR,S,1,
2010-09-08,11,Robbery,15E20,02B,10300-10399,POST OAK,RD,S,1,
2010-09-08,15,Robbery,20G30,02B,10400-10499,WESTHEIMER,RD,-,1,
2010-09-07,19,Robbery,19G20,13R,11200-11299,BELLAIRE,BLVD,-,1,
2010-09-08,15,Robbery,3B10,18A,6500-6599,43RD,ST,W,1,
2010-02-17,08,Robbery,11H10,120,7000-7099,LAWNDALE,-,-,1,
2010-09-08,18,Robbery,18F60,080,9800-9899,HARWIN,DR,-,1,
2010-09-08,19,Robbery,12D20,18G,11100-11199,FUQUA,ST,-,1,
2010-09-08,19,Robbery,19G40,080,11800-11899,BISSONNET,ST,-,1,
2010-09-10,23,Robbery,1A20,18N,800-899,PACIFIC,-,-,1,
2010-09-13,13,Robbery,6B10,080,800-899,LITTLE YORK,RD,-,1,
2010-09-08,20,Robbery,19G10,18A,10000-10099,GREENFORK,DR,-,1,
2010-09-08,19,Robbery,3B50,18C,300-399,CROSSTIMBERS,-,E,1,
2010-09-08,20,Robbery,10H50,13R,2600-2699,NAGLE,-,-,1,
2010-09-08,22,Robbery,13D20,18A,8100-8199,STONE,-,-,1,
2010-09-08,22,Robbery,3B10,18A,5000-5099,GEORGI,LN,-,1,
2010-09-09,01,Robbery,14D40,23S,10600-10699,CULLEN,BLVD,-,1,
2010-09-09,02,Robbery,10H70,070,1500-1599,BLODGETT,ST,-,1,
2010-09-08,03,Robbery,10H50,13R,3000-3099,LIVE OAK,-,-,1,
2010-09-09,09,Robbery,2A60,18P,2500-2599,NORTH LP W,SER,S,1,
2010-09-09,15,Robbery,12D20,13B,10700-10799,SABO,RD,-,1,
2010-09-09,14,Robbery,2A30,120,200-299,20TH,ST,W,1,
2010-09-08,12,Robbery,12D10,20A,10300-10399,NEY,-,-,1,
2010-08-24,13,Robbery,12D70,18A,200-299,EL DORADO,BLVD,-,1,
2010-09-09,21,Robbery,19G20,18B,11800-11899,BELLAIRE,BLVD,-,1,
2010-09-09,21,Robbery,5F10,13R,6800-6899,SHAVELSON,-,-,1,
2010-09-09,21,Robbery,19G10,080,9400-9499,WEST SAM HOUSTON,PKWY,S,1,
2010-09-09,22,Robbery,20G10,140,3200-3299,WEST SAM HOUSTON,PKWY,S,1,
2010-09-09,22,Robbery,18F40,18A,2400-2499,VOSS,RD,S,1,
2010-09-09,22,Robbery,16E20,20D,4700-4799,ANDERSON,RD,-,1,
2010-09-09,23,Robbery,6B10,18R,6200-6299,AIRLINE,DR,-,1,
2010-09-09,23,Robbery,18F40,18A,9100-9199,WESTHEIMER,RD,-,1,
2010-09-09,23,Robbery,18F40,18A,2300-2399,LAZY HOLLOW,DR,-,1,
2010-09-09,22,Robbery,6B40,18O,700-799,MOUNT HOUSTON,RD,W,1,
2010-09-09,23,Robbery,20G10,13R,6400-6499,RANCHESTER,DR,-,1,
